Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,y
58,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
59,Fa,Tr,Fa,Fa,Fa,Fa,Fa,-1
60,Tr,Tr,Fa,Tr,Fa,Tr,Fa,-1
61,Fa,Tr,Fa,Tr,Fa,Tr,Tr,-1
62,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
63,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
64,Tr,Tr,Tr,Fa,Fa,Tr,Tr,-1
65,Fa,Tr,Fa,Fa,Tr,Tr,Fa,-1
66,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
67,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
68,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
69,Tr,Tr,Fa,Fa,Fa,Tr,Fa,-1
70,Fa,Tr,Fa,Fa,Tr,Tr,Fa,-1
71,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
72,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
73,Fa,Fa,Tr,Tr,Fa,Tr,Fa,-1
74,Fa,Tr,Fa,Fa,Tr,Tr,Fa,-1
75,Fa,Tr,Fa,Fa,Fa,Tr,Tr,-1
76,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
77,Fa,Fa,Tr,Fa,Fa,Tr,Fa,-1
78,Fa,Tr,Tr,Fa,Fa,Tr,Fa,-1
79,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
80,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
81,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
82,Fa,Tr,Tr,Fa,Fa,Tr,Fa,-1
83,Fa,Tr,Fa,Tr,Fa,Tr,Fa,-1
84,Fa,Tr,Fa,Fa,Fa,Tr,Tr,-1
85,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
86,Fa,Fa,Fa,Fa,Tr,Tr,Fa,-1
87,Tr,Tr,Fa,Fa,Fa,Tr,Tr,-1
88,Fa,Tr,Fa,Fa,Tr,Tr,Fa,-1
89,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
90,Fa,Tr,Fa,Fa,Fa,Tr,Fa,-1
91,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
92,Fa,Fa,Fa,Fa,Fa,Tr,Tr,-1
93,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
94,Fa,Tr,Fa,Fa,Fa,Tr,Tr,-1
95,Tr,Tr,Fa,Fa,Fa,Tr,Fa,-1
96,Tr,Tr,Fa,Fa,Fa,Tr,Fa,-1
97,Tr,Fa,Tr,Fa,Tr,Fa,Tr,-1
98,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
99,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
100,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
101,Tr,Fa,Fa,Fa,Tr,Fa,Fa,-1
102,Tr,Fa,Tr,Fa,Tr,Fa,Fa,-1
103,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
104,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
105,Tr,Fa,Fa,Fa,Fa,Fa,Tr,-1
106,Tr,Tr,Fa,Fa,Tr,Fa,Tr,-1
107,Tr,Fa,Tr,Fa,Tr,Fa,Tr,-1
108,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
109,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
110,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
111,Tr,Fa,Fa,Tr,Tr,Fa,Tr,-1
112,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
113,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
114,Tr,Fa,Fa,Fa,Tr,Fa,Fa,-1
115,Tr,Fa,Tr,Fa,Tr,Fa,Tr,-1
116,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
117,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
118,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
119,Tr,Fa,Fa,Fa,Tr,Fa,Fa,-1
120,Tr,Fa,Tr,Fa,Tr,Tr,Tr,-1
121,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
122,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
123,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
124,Tr,Fa,Tr,Fa,Tr,Fa,Tr,-1
125,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
126,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
127,Tr,Fa,Fa,Fa,Fa,Fa,Tr,-1
128,Tr,Tr,Fa,Fa,Tr,Fa,Tr,-1
129,Tr,Fa,Fa,Tr,Tr,Fa,Tr,-1
130,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
131,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
132,Tr,Fa,Fa,Fa,Fa,Fa,Tr,-1
133,Tr,Fa,Tr,Fa,Tr,Fa,Tr,-1
134,Tr,Fa,Tr,Fa,Tr,Fa,Fa,-1
135,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
136,Tr,Fa,Fa,Fa,Fa,Fa,Tr,-1
137,Fa,Fa,Fa,Fa,Tr,Fa,Tr,-1
138,Tr,Tr,Fa,Fa,Tr,Tr,Tr,-1
139,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
140,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
141,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
142,Tr,Fa,Fa,Fa,Tr,Fa,Fa,-1
143,Tr,Tr,Tr,Fa,Tr,Fa,Tr,-1
144,Tr,Fa,Tr,Fa,Tr,Fa,Tr,-1
145,Tr,Fa,Fa,Fa,Fa,Fa,Tr,-1
146,Tr,Fa,Fa,Tr,Tr,Fa,Tr,-1
147,Tr,Fa,Fa,Fa,Tr,Fa,Tr,-1
148,Fa,Fa,Fa,Tr,Tr,Fa,Tr,-1
149,Tr,Tr,Tr,Fa,Tr,Fa,Fa,-1
150,Fa,Fa,Tr,Fa,Tr,Fa,Tr,-1
151,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
152,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
153,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
154,Fa,Tr,Tr,Tr,Tr,Fa,Fa,-1
155,Fa,Fa,Tr,Fa,Tr,Tr,Fa,-1
156,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
157,Fa,Fa,Tr,Fa,Fa,Fa,Tr,-1
158,Fa,Tr,Tr,Fa,Tr,Tr,Fa,-1
159,Fa,Fa,Tr,Fa,Tr,Tr,Fa,-1
160,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
161,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
162,Fa,Fa,Tr,Tr,Tr,Fa,Tr,-1
163,Fa,Fa,Tr,Fa,Tr,Fa,Tr,-1
164,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
165,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
166,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
167,Tr,Fa,Tr,Fa,Tr,Fa,Fa,-1
168,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
169,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
170,Fa,Fa,Tr,Tr,Tr,Fa,Fa,-1
171,Fa,Fa,Tr,Tr,Tr,Fa,Fa,-1
172,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
173,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
174,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
175,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
176,Tr,Fa,Tr,Fa,Tr,Fa,Fa,-1
177,Fa,Fa,Tr,Fa,Tr,Tr,Fa,-1
178,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
179,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
180,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
181,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
182,Tr,Tr,Tr,Fa,Tr,Fa,Fa,-1
183,Fa,Fa,Tr,Fa,Tr,Tr,Fa,-1
184,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
185,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
186,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
187,Fa,Fa,Tr,Tr,Tr,Fa,Fa,-1
188,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
189,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
190,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
191,Fa,Tr,Tr,Tr,Fa,Fa,Fa,-1
192,Fa,Fa,Tr,Fa,Tr,Tr,Fa,-1
193,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
194,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
195,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
196,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
197,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
198,Fa,Fa,Tr,Fa,Tr,Fa,Tr,-1
199,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
200,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
201,Tr,Fa,Tr,Fa,Fa,Fa,Fa,-1
202,Fa,Fa,Tr,Tr,Fa,Fa,Fa,-1
203,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
204,Fa,Tr,Tr,Fa,Fa,Fa,Fa,-1
205,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
206,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
207,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
208,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
209,Fa,Fa,Tr,Tr,Fa,Fa,Fa,-1
210,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
211,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
212,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
213,Tr,Fa,Tr,Fa,Fa,Fa,Fa,-1
214,Fa,Fa,Tr,Tr,Fa,Fa,Tr,-1
215,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
216,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
217,Fa,Tr,Tr,Tr,Fa,Fa,Fa,-1
218,Fa,Fa,Tr,Fa,Fa,Tr,Fa,-1
219,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
220,Fa,Tr,Tr,Fa,Tr,Fa,Fa,-1
221,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
222,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
223,Fa,Fa,Tr,Tr,Tr,Fa,Tr,-1
224,Fa,Fa,Tr,Fa,Fa,Fa,Tr,-1
225,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
226,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
227,Fa,Fa,Fa,Fa,Tr,Tr,Fa,-1
228,Tr,Fa,Tr,Fa,Fa,Fa,Fa,-1
229,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
230,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
231,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
232,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
233,Tr,Fa,Tr,Fa,Fa,Fa,Fa,-1
234,Fa,Fa,Tr,Tr,Fa,Fa,Fa,-1
235,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
236,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
237,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
238,Tr,Fa,Tr,Fa,Fa,Fa,Tr,-1
239,Fa,Fa,Tr,Fa,Fa,Tr,Fa,-1
240,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
241,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
242,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
243,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
244,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
245,Tr,Fa,Fa,Fa,Fa,Fa,Fa,-1
246,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
247,Fa,Fa,Tr,Fa,Fa,Fa,Tr,-1
248,Fa,Tr,Tr,Tr,Tr,Tr,Tr,-1
249,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
250,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
251,Fa,Tr,Fa,Tr,Fa,Fa,Tr,-1
252,Fa,Fa,Fa,Tr,Tr,Fa,Tr,-1
253,Tr,Tr,Fa,Tr,Tr,Fa,Tr,-1
254,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
255,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
256,Fa,Tr,Fa,Tr,Tr,Fa,Fa,-1
257,Fa,Tr,Fa,Fa,Tr,Fa,Tr,-1
258,Tr,Tr,Fa,Tr,Tr,Fa,Tr,-1
259,Fa,Tr,Fa,Tr,Tr,Tr,Tr,-1
260,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
261,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
262,Fa,Tr,Fa,Tr,Tr,Fa,Fa,-1
263,Fa,Tr,Fa,Fa,Tr,Fa,Tr,-1
264,Tr,Tr,Fa,Tr,Tr,Fa,Tr,-1
265,Fa,Tr,Tr,Tr,Tr,Fa,Tr,-1
266,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
267,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
268,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
269,Fa,Tr,Fa,Tr,Fa,Fa,Fa,-1
270,Tr,Tr,Fa,Fa,Tr,Tr,Fa,-1
271,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
272,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
273,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
274,Fa,Tr,Fa,Fa,Tr,Fa,Tr,-1
275,Tr,Tr,Fa,Tr,Tr,Fa,Tr,-1
276,Fa,Tr,Fa,Tr,Tr,Tr,Tr,-1
277,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
278,Fa,Tr,Fa,Tr,Fa,Fa,Tr,-1
279,Fa,Tr,Tr,Tr,Tr,Tr,Tr,-1
280,Fa,Tr,Tr,Tr,Tr,Fa,Fa,-1
281,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
282,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
283,Fa,Tr,Fa,Tr,Fa,Tr,Tr,-1
284,Fa,Fa,Fa,Tr,Tr,Fa,Tr,-1
285,Tr,Tr,Fa,Tr,Tr,Fa,Tr,-1
286,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
287,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
288,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
289,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
290,Fa,Fa,Fa,Fa,Tr,Fa,Tr,-1
291,Tr,Tr,Fa,Tr,Tr,Fa,Tr,-1
292,Fa,Tr,Fa,Tr,Tr,Tr,Tr,-1
293,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
294,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
295,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
296,Tr,Tr,Fa,Tr,Tr,Fa,Tr,-1
297,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
298,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
299,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
300,Fa,Tr,Fa,Tr,Fa,Fa,Tr,-1
301,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
302,Fa,Tr,Tr,Tr,Fa,Tr,Tr,-1
303,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
304,Fa,Tr,Fa,Tr,Tr,Fa,Tr,-1
305,Tr,Fa,Fa,Fa,Fa,Fa,Fa,-1
306,Fa,Fa,Tr,Fa,Fa,Fa,Tr,-1
307,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
308,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
309,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
310,Tr,Fa,Tr,Fa,Fa,Fa,Fa,-1
311,Fa,Tr,Fa,Fa,Fa,Fa,Fa,-1
312,Fa,Fa,Fa,Fa,Fa,Fa,Tr,-1
313,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
314,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
315,Tr,Fa,Fa,Fa,Fa,Tr,Fa,-1
316,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
317,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
318,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
319,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
320,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
321,Fa,Tr,Fa,Fa,Fa,Fa,Fa,-1
322,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
323,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
324,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
325,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
326,Fa,Tr,Fa,Fa,Tr,Fa,Fa,-1
327,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
328,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
329,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
330,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
331,Tr,Fa,Fa,Fa,Fa,Fa,Fa,-1
332,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
333,Fa,Fa,Fa,Fa,Fa,Fa,Tr,-1
334,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
335,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
336,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
337,Tr,Fa,Tr,Fa,Fa,Fa,Fa,-1
338,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
339,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
340,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
341,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
342,Tr,Fa,Fa,Tr,Fa,Fa,Fa,-1
343,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
344,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
345,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
346,Tr,Fa,Fa,Fa,Fa,Fa,Fa,-1
347,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
348,Fa,Fa,Fa,Fa,Fa,Tr,Fa,-1
349,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
350,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
351,Tr,Fa,Fa,Tr,Tr,Fa,Fa,-1
352,Fa,Fa,Tr,Fa,Fa,Fa,Fa,-1
353,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
354,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
355,Fa,Fa,Fa,Tr,Fa,Tr,Fa,-1
356,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
357,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
358,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
359,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
360,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
361,Tr,Fa,Fa,Fa,Fa,Fa,Fa,-1
362,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
363,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
364,Fa,Fa,Tr,Tr,Tr,Fa,Fa,-1
365,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
366,Fa,Fa,Fa,Fa,Tr,Fa,Tr,-1
367,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
368,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
369,Fa,Tr,Fa,Fa,Tr,Fa,Fa,-1
370,Fa,Fa,Fa,Tr,Tr,Fa,Fa,-1
371,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
372,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
373,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
374,Tr,Fa,Fa,Fa,Tr,Fa,Fa,-1
375,Fa,Fa,Fa,Tr,Fa,Fa,Fa,-1
376,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
377,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
378,Tr,Fa,Fa,Fa,Tr,Fa,Fa,-1
379,Fa,Fa,Fa,Tr,Tr,Fa,Fa,-1
380,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
381,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
382,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
383,Tr,Fa,Fa,Fa,Tr,Tr,Fa,-1
384,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
385,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
386,Tr,Fa,Fa,Fa,Tr,Fa,Fa,-1
387,Fa,Fa,Fa,Tr,Tr,Fa,Fa,-1
388,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
389,Fa,Tr,Fa,Fa,Tr,Fa,Fa,-1
390,Fa,Fa,Fa,Tr,Tr,Fa,Fa,-1
391,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
392,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
393,Fa,Fa,Fa,Fa,Fa,Fa,Fa,-1
394,Tr,Fa,Fa,Fa,Tr,Fa,Fa,-1
395,Fa,Fa,Fa,Fa,Tr,Tr,Fa,-1
396,Fa,Fa,Fa,Fa,Tr,Fa,Tr,-1
397,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
398,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
399,Fa,Tr,Fa,Tr,Tr,Fa,Fa,-1
400,Fa,Fa,Tr,Fa,Tr,Fa,Fa,-1
401,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
402,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
403,Fa,Fa,Fa,Fa,Tr,Tr,Tr,-1
404,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
405,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
406,Fa,Fa,Fa,Fa,Tr,Fa,Fa,-1
407,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
408,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
409,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
410,Tr,Fa,Fa,Tr,Tr,Fa,Tr,Fa
411,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
412,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
413,Tr,Tr,Fa,Tr,Tr,Tr,Tr,Fa
414,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
415,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
416,Fa,Tr,Fa,Fa,Fa,Tr,Tr,Fa
417,Tr,Tr,Tr,Tr,Tr,Fa,Tr,Fa
418,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
419,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
420,Fa,Tr,Tr,Tr,Tr,Fa,Tr,Fa
421,Tr,Tr,Fa,Tr,Tr,Fa,Tr,Fa
