"","V1","V2","V3","V4","V5","V6","V7","V8","y"
"43",0.4,0.62,0.52,0.31,0.5,0,0.49,0.31,-1
"44",0.6,0.5,0.57,0.25,0.5,0,0.41,0.26,-1
"45",0.34,0.54,0.5,0.21,0.5,0,0.54,0.31,-1
"46",0.29,0.32,0.58,0.15,0.5,0,0.5,0.3,-1
"47",0.39,0.47,0.56,0.16,0.5,0,0.47,0.22,-1
"48",0.43,0.57,0.53,0.16,0.5,0,0.54,0.22,-1
"49",0.59,0.48,0.5,0.14,0.5,0,0.45,0.25,-1
"50",0.39,0.55,0.48,0.31,0.5,0,0.54,0.29,-1
"51",0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,-1
"52",0.45,0.43,0.51,0.24,0.5,0,0.54,0.33,-1
"53",0.42,0.43,0.56,0.1,0.5,0,0.49,0.22,-1
"54",0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,-1
"55",0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,-1
"56",0.54,0.49,0.49,0.2,0.5,0,0.52,0.22,-1
"57",0.48,0.61,0.44,0.2,0.5,0,0.47,0.22,-1
"58",0.66,0.45,0.5,0.23,0.5,0,0.49,0.22,-1
"59",0.21,0.41,0.55,0.11,0.5,0,0.5,0.27,-1
"60",0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,1
"61",0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,-1
"62",0.24,0.34,0.69,0.18,0.5,0,0.52,0.22,-1
"63",0.49,0.43,0.51,0.13,0.5,0,0.47,0.22,-1
"64",0.54,0.38,0.52,0.18,0.5,0,0.48,0.22,-1
"65",0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,-1
"66",0.48,0.64,0.61,0.23,0.5,0,0.6,0.22,-1
"67",0.31,0.55,0.52,0.17,0.5,0,0.52,0.22,-1
"68",0.32,0.57,0.5,0.15,0.5,0,0.53,0.22,-1
"69",0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,-1
"70",0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,-1
"71",0.37,0.42,0.51,0.11,0.5,0,0.57,0.22,-1
"72",0.44,0.42,0.6,0.21,0.5,0,0.57,0.22,-1
"73",0.53,0.51,0.46,0.28,0.5,0,0.48,0.22,-1
"74",0.35,0.66,0.49,0.21,0.5,0,0.54,0.25,-1
"75",0.52,0.4,0.6,0.12,0.5,0,0.55,0.22,-1
"76",0.57,0.41,0.59,0.24,0.5,0,0.4,0.22,-1
"77",0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,-1
"78",0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,1
"79",0.41,0.51,0.58,0.15,0.5,0,0.45,0.27,-1
"80",0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,-1
"81",0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,-1
"82",0.45,0.27,0.57,0.36,0.5,0,0.52,0.18,-1
"83",0.2,0.26,0.52,0.14,0.5,0,0.53,0.44,-1
"84",0.51,0.53,0.55,0.14,0.5,0,0.51,0.22,-1
"85",0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,1
"86",0.38,0.48,0.59,0.22,0.5,0,0.46,0.22,-1
"87",0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,-1
"88",0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,-1
"89",0.56,0.52,0.55,0.19,0.5,0,0.54,0.22,-1
"90",0.39,0.45,0.53,0.18,0.5,0,0.54,0.22,-1
"91",0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,-1
"92",0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,-1
"93",0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,-1
"94",0.45,0.56,0.53,0.32,0.5,0,0.57,0.22,-1
"95",0.54,0.65,0.49,0.34,0.5,0,0.52,0.22,-1
"96",0.59,0.58,0.46,0.19,0.5,0,0.56,0.27,-1
"97",0.55,0.56,0.45,0.14,0.5,0,0.54,0.22,-1
"98",0.32,0.47,0.55,0.12,0.5,0,0.52,0.22,-1
"99",0.62,0.58,0.46,0.13,0.5,0,0.53,0.22,-1
"100",0.35,0.46,0.49,0.15,1,0,0.55,0.35,-1
"101",0.43,0.51,0.48,0.14,0.5,0,0.5,0.22,-1
"102",0.57,0.61,0.45,0.26,0.5,0,0.5,0.22,-1
"103",0.63,0.62,0.42,0.12,0.5,0,0.52,0.25,-1
"104",0.25,0.4,0.51,0.18,0.5,0,0.5,0.27,-1
"105",0.56,0.62,0.53,0.24,0.5,0,0.57,0.22,-1
"106",0.58,0.6,0.51,0.24,0.5,0,0.53,0.22,-1
"107",0.71,0.59,0.53,0.15,0.5,0,0.49,0.33,-1
"108",0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22,1
"109",0.46,0.48,0.44,0.21,0.5,0,0.55,0.22,1
"110",0.35,0.36,0.57,0.17,0.5,0,0.52,0.22,-1
"111",0.45,0.4,0.56,0.14,0.5,0,0.54,0.22,-1
"112",0.47,0.47,0.58,0.16,0.5,0,0.49,0.28,-1
"113",0.41,0.39,0.51,0.52,0.5,0,0.49,0.22,-1
"114",0.69,0.6,0.5,0.31,0.5,0,0.55,0.22,-1
"115",0.51,0.58,0.54,0.29,0.5,0,0.53,0.22,-1
"116",0.55,0.66,0.57,0.32,0.5,0,0.57,0.34,-1
"117",0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,-1
"118",0.62,0.58,0.52,0.15,0.5,0,0.52,0.29,-1
"119",0.5,0.5,0.48,0.17,0.5,0,0.47,0.26,-1
"120",0.45,0.42,0.52,0.2,0.5,0,0.5,0.25,-1
"121",0.51,0.35,0.46,0.15,0.5,0,0.51,0.42,-1
"122",0.42,0.39,0.47,0.13,0.5,0,0.5,0.27,-1
"123",0.32,0.38,0.52,0.2,0.5,0,0.52,0.28,-1
"124",0.59,0.65,0.52,0.3,0.5,0,0.46,0.31,-1
"125",0.41,0.52,0.41,0.11,0.5,0,0.54,0.35,-1
"126",0.37,0.33,0.5,0.12,0.5,0,0.51,0.54,-1
"127",0.45,0.56,0.49,0.17,0.5,0,0.52,0.22,-1
"128",0.6,0.4,0.59,0.18,0.5,0,0.48,0.22,-1
"129",0.38,0.47,0.53,0.12,0.5,0,0.48,0.22,-1
"130",0.59,0.43,0.52,0.19,0.5,0,0.55,0.27,-1
"131",0.64,0.53,0.45,0.13,0.5,0,0.53,0.22,-1
"132",0.52,0.51,0.51,0.12,0.5,0,0.51,0.4,-1
"133",0.49,0.43,0.48,0.15,0.5,0,0.55,0.25,-1
"134",0.49,0.47,0.52,0.16,0.5,0,0.53,0.28,-1
"135",0.48,0.39,0.49,0.18,0.5,0,0.51,0.22,-1
"136",0.44,0.34,0.55,0.18,0.5,0,0.52,0.22,-1
"137",0.49,0.42,0.54,0.17,0.5,0,0.5,0.36,-1
"138",0.74,0.53,0.5,0.08,0.5,0,0.55,0.31,-1
"139",0.3,0.5,0.47,0.11,0.5,0,0.46,0.22,-1
"140",0.44,0.51,0.48,0.38,0.5,0,0.52,0.22,-1
"141",0.31,0.45,0.5,0.17,0.5,0,0.49,0.22,-1
"142",0.55,0.41,0.56,0.21,0.5,0,0.52,0.22,-1
"143",0.4,0.48,0.5,0.17,0.5,0,0.54,0.5,-1
"144",0.58,0.45,0.48,0.24,0.5,0,0.52,0.37,-1
"145",0.58,0.41,0.51,0.26,0.5,0,0.51,0.37,-1
"146",0.38,0.49,0.61,0.13,0.5,0,0.54,0.22,-1
"147",0.21,0.38,0.49,0.16,0.5,0,0.51,0.45,-1
"148",0.48,0.34,0.47,0.14,0.5,0,0.47,0.26,-1
"149",0.35,0.4,0.53,0.18,0.5,0,0.42,0.38,-1
"150",0.53,0.43,0.47,0.15,0.5,0,0.58,0.22,-1
"151",0.46,0.45,0.56,0.16,0.5,0,0.56,0.22,-1
"152",0.56,0.44,0.56,0.19,0.5,0,0.54,0.22,-1
"153",0.61,0.54,0.49,0.16,0.5,0,0.54,0.42,-1
"154",0.66,0.62,0.52,0.17,0.5,0,0.49,0.22,-1
"155",0.44,0.41,0.58,0.2,0.5,0,0.57,0.25,-1
"156",0.61,0.54,0.49,0.19,0.5,0,0.54,0.47,-1
"157",0.41,0.3,0.49,0.28,0.5,0,0.54,0.22,-1
"158",0.41,0.43,0.5,0.28,0.5,0,0.5,0.22,-1
"159",0.52,0.5,0.53,0.1,0.5,0,0.48,0.22,1
"160",0.51,0.43,0.63,0.18,0.5,0,0.52,0.22,-1
"161",0.5,0.46,0.52,0.16,0.5,0,0.52,0.26,-1
"162",0.51,0.34,0.43,0.18,0.5,0,0.48,0.25,-1
"163",0.43,0.51,0.6,0.25,0.5,0,0.55,0.22,-1
"164",0.42,0.25,0.6,0.14,0.5,0,0.45,0.22,-1
"165",0.43,0.52,0.53,0.52,1,0,0.49,0.22,-1
"166",0.38,0.49,0.54,1,0.5,0,0.5,0.27,-1
"167",0.27,0.56,0.56,0.18,0.5,0,0.52,0.22,-1
"168",0.43,0.45,0.54,0.14,0.5,0,0.5,0.31,-1
"169",0.52,0.48,0.58,0.55,0.5,0,0.48,0.22,-1
"170",0.51,0.43,0.47,0.19,0.5,0,0.52,0.37,-1
"171",0.54,0.54,0.49,0.14,0.5,0,0.56,0.22,-1
"172",0.5,0.45,0.48,0.17,0.5,0,0.5,0.26,-1
"173",0.46,0.47,0.46,0.16,0.5,0,0.51,0.22,-1
"174",0.5,0.34,0.62,0.19,0.5,0,0.57,0.22,-1
"175",0.39,0.37,0.56,0.15,0.5,0,0.5,0.27,-1
"176",0.48,0.51,0.57,0.24,0.5,0,0.5,0.22,-1
"177",0.62,0.6,0.47,0.16,0.5,0,0.53,0.22,-1
"178",0.68,0.58,0.51,0.19,0.5,0.83,0.54,0.22,1
"179",0.49,0.44,0.45,0.22,0.5,0,0.51,0.22,-1
"180",0.57,0.44,0.42,0.2,0.5,0,0.54,0.22,-1
"181",0.4,0.47,0.48,0.18,0.5,0,0.46,0.22,-1
"182",0.34,0.54,0.54,0.13,0.5,0,0.52,0.22,-1
"183",0.29,0.46,0.54,0.27,0.5,0,0.49,0.22,-1
"184",0.46,0.55,0.61,0.13,0.5,0,0.47,0.22,-1
"185",0.42,0.5,0.53,0.22,0.5,0.83,0.5,0.22,1
"186",0.57,0.4,0.48,0.24,0.5,0,0.55,0.22,-1
"187",0.58,0.38,0.4,0.21,0.5,0,0.5,0.22,-1
"188",0.53,0.41,0.5,0.24,1,0,0.47,0.22,-1
"189",0.43,0.4,0.5,0.18,0.5,0,0.5,0.28,-1
"190",0.49,0.6,0.55,0.17,0.5,0,0.44,0.22,-1
"191",0.37,0.41,0.45,0.14,0.5,0,0.47,0.22,-1
"192",0.5,0.36,0.53,0.41,0.5,0,0.55,0.36,-1
"193",0.59,0.58,0.39,0.52,0.5,0,0.5,0.31,-1
"194",0.47,0.5,0.55,0.19,0.5,0,0.62,0.22,-1
"195",0.35,0.5,0.44,0.27,0.5,0,0.51,0.22,-1
"196",0.49,0.44,0.51,0.18,0.5,0,0.52,0.27,-1
"197",0.29,0.34,0.55,0.24,0.5,0,0.51,0.22,-1
"198",0.49,0.27,0.57,0.18,0.5,0.83,0.54,0.22,1
"199",0.28,0.48,0.56,0.16,0.5,0,0.48,0.26,-1
"200",0.69,0.39,0.52,0.12,0.5,0,0.38,0.35,-1
"201",0.56,0.48,0.5,0.3,0.5,0,0.51,0.22,-1
"202",0.5,0.5,0.54,0.16,0.5,0,0.49,0.22,1
"203",0.47,0.43,0.59,0.27,0.5,0,0.55,0.22,1
"204",0.68,0.59,0.44,0.49,0.5,0,0.4,0.26,1
"205",0.5,0.51,0.57,0.27,0.5,0,0.48,0.22,1
"206",0.45,0.46,0.61,0.2,0.5,0,0.62,0.22,-1
"207",0.49,0.45,0.53,0.16,0.5,0,0.49,0.31,-1
"208",0.51,0.46,0.57,0.25,0.5,0,0.53,0.22,-1
"209",0.49,0.45,0.46,0.18,0.5,0,0.49,0.31,-1
"210",0.52,0.46,0.51,0.18,0.5,0,0.5,0.22,-1
"211",0.55,0.59,0.52,0.1,0.5,0,0.53,0.22,-1
"212",0.39,0.58,0.5,0.1,0.5,0,0.51,0.25,-1
"213",0.57,0.49,0.5,0.2,0.5,0,0.51,0.28,-1
"214",0.62,0.43,0.49,0.29,0.5,0,0.5,0.27,-1
"215",0.45,0.41,0.49,0.14,1,0,0.53,0.3,-1
"216",0.47,0.49,0.6,0.15,0.5,0,0.38,0.22,-1
"217",0.46,0.46,0.53,0.23,0.5,0,0.51,0.22,-1
"218",0.48,0.42,0.48,0.19,0.5,0,0.58,0.22,-1
"219",0.43,0.45,0.53,0.19,0.5,0,0.56,0.22,-1
"220",0.28,0.36,0.55,0.15,0.5,0,0.57,0.22,-1
"221",0.38,0.62,0.52,0.14,0.5,0,0.53,0.22,-1
"222",0.55,0.51,0.54,0.2,0.5,0,0.56,0.22,-1
"223",0.46,0.37,0.48,0.36,0.5,0,0.48,0.22,1
"224",0.45,0.47,0.53,0.15,0.5,0,0.52,0.27,-1
"225",0.51,0.48,0.46,0.29,0.5,0,0.54,0.22,-1
"226",0.55,0.63,0.54,0.16,0.5,0,0.45,0.27,-1
"227",0.46,0.62,0.54,0.25,0.5,0,0.46,0.22,-1
"228",0.53,0.59,0.48,0.14,0.5,0,0.51,0.22,-1
"229",0.42,0.53,0.57,0.17,0.5,0,0.49,0.22,-1
"230",0.52,0.46,0.56,0.2,0.5,0,0.5,0.22,-1
"231",0.53,0.43,0.57,0.24,0.5,0,0.39,0.28,-1
"232",0.56,0.48,0.5,0.17,0.5,0,0.51,0.26,-1
"233",0.77,0.57,0.45,0.17,0.5,0,0.53,0.22,-1
"234",0.45,0.45,0.52,0.17,0.5,0,0.54,0.22,-1
"235",0.28,0.51,0.55,0.19,0.5,0,0.57,0.22,-1
"236",0.51,0.51,0.56,0.28,0.5,0,0.54,0.27,-1
"237",0.48,0.56,0.49,0.32,0.5,0,0.5,0.22,-1
"238",0.59,0.46,0.48,0.46,0.5,0,0.49,0.22,-1
"239",0.53,0.45,0.53,0.18,0.5,0,0.42,0.22,-1
"240",0.45,0.27,0.5,0.33,0.5,0,0.53,0.26,-1
"241",0.48,0.5,0.56,0.11,0.5,0,0.33,0.22,-1
"242",0.35,0.47,0.53,0.19,0.5,0,0.48,0.22,-1
"243",0.48,0.48,0.56,0.18,0.5,0,0.58,0.22,-1
"244",0.46,0.43,0.5,0.24,0.5,0,0.48,0.31,-1
"245",0.43,0.46,0.5,0.21,0.5,0,0.49,0.34,-1
"246",0.61,0.55,0.51,0.26,0.5,0,0.52,0.22,-1
"247",0.59,0.47,0.51,0.53,0.5,0,0.53,0.26,-1
"248",0.4,0.6,0.5,0.16,0.5,0,0.51,0.22,-1
"249",0.61,0.46,0.54,0.11,0.5,0,0.47,0.22,-1
"250",0.66,0.55,0.54,0.18,0.5,0,0.43,0.22,-1
"251",0.6,0.48,0.46,0.32,0.5,0,0.4,0.33,-1
"252",0.64,0.44,0.51,0.35,0.5,0,0.53,0.22,-1
"253",0.45,0.52,0.5,0.12,0.5,0,0.6,0.22,-1
"254",0.38,0.4,0.59,0.25,0.5,0,0.44,0.22,-1
"255",0.39,0.39,0.59,0.25,0.5,0,0.45,0.22,-1
"256",0.54,0.55,0.56,0.14,0.5,0,0.5,0.25,-1
"257",0.45,0.5,0.57,0.29,0.5,0,0.44,0.11,-1
"258",0.45,0.5,0.57,0.29,0.5,0,0.44,0.11,-1
"259",0.61,0.38,0.57,0.36,0.5,0,0.44,0.21,-1
"260",0.61,0.38,0.57,0.36,0.5,0,0.44,0.21,-1
"261",0.43,0.33,0.54,0.37,0.5,0,0.38,0.16,-1
"262",0.43,0.33,0.54,0.37,0.5,0,0.38,0.16,-1
"263",0.51,0.39,0.58,0.19,0.5,0,0.47,0.22,-1
"264",0.35,0.33,0.48,0.42,0.5,0,0.47,0.43,-1
"265",0.46,0.35,0.69,0.18,0.5,0,0.3,0.25,-1
"266",0.46,0.35,0.69,0.18,0.5,0,0.3,0.25,-1
"267",0.57,0.43,0.52,0.3,0.5,0,0.37,0.11,-1
"268",0.57,0.43,0.52,0.3,0.5,0,0.37,0.11,-1
"269",0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,-1
"270",0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,-1
"271",0.61,0.53,0.59,0.17,0.5,0,0.44,0.28,-1
"272",0.61,0.48,0.56,0.19,0.5,0,0.53,0.31,-1
"273",0.61,0.48,0.56,0.19,0.5,0,0.53,0.31,-1
"274",0.44,0.56,0.52,0.18,0.5,0,0.5,0.11,-1
"275",0.36,0.56,0.52,0.18,0.5,0,0.45,0.16,-1
"276",0.37,0.44,0.64,0.48,0.5,0,0.36,0.27,-1
"277",0.72,0.37,0.63,0.38,0.5,0,0.4,0.14,-1
"278",0.72,0.37,0.63,0.38,0.5,0,0.4,0.14,-1
"279",0.44,0.36,0.64,0.45,0.5,0,0.53,0.11,-1
"280",0.58,0.45,0.55,0.27,0.5,0,0.48,0.11,-1
"281",0.63,0.64,0.45,0.26,0.5,0,0.43,0.22,-1
"282",0.63,0.64,0.45,0.26,0.5,0,0.43,0.22,-1
"283",0.43,0.33,0.67,0.12,0.5,0,0.45,0.23,-1
"284",0.43,0.33,0.67,0.12,0.5,0,0.43,0.23,-1
"285",0.58,0.44,0.5,0.26,0.5,0,0.52,0.22,-1
"286",0.38,0.43,0.53,0.22,0.5,0,0.48,0.11,-1
"287",0.4,0.45,0.61,0.29,0.5,0,0.44,0.22,-1
"288",0.4,0.45,0.61,0.29,0.5,0,0.44,0.22,-1
"289",0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,-1
"290",0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,-1
"291",0.43,0.22,0.79,0.79,0.5,0,0.22,0,-1
"292",0.35,0.21,1,0.8,0.5,0,0.13,0.01,-1
"293",0.35,0.21,1,0.8,0.5,0,0.13,0.01,-1
"294",0.56,0.35,0.47,0.41,0.5,0,0.5,0.22,-1
"295",0.56,0.35,0.47,0.35,0.5,0,0.52,0.22,-1
"296",0.54,0.44,0.55,0.48,0.5,0,0.47,0.22,-1
"297",0.35,0.39,0.56,0.2,0.5,0,0.49,0.41,-1
"298",0.48,0.46,0.58,0.16,0.5,0,0.45,0.22,-1
"299",0.48,0.55,0.48,0.1,0.5,0,0.55,0.22,-1
"300",0.66,0.6,0.52,0.19,0.5,0,0.69,0.22,-1
"301",0.69,0.54,0.55,0.23,0.5,0,0.73,0.22,-1
"302",0.73,0.6,0.47,0.2,0.5,0,0.72,0.22,-1
"303",0.78,0.82,0.56,0.21,0.5,0,0.69,0.22,-1
"304",0.46,0.33,0.45,0.22,0.5,0,0.41,0.37,-1
"305",0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,-1
"306",0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,-1
"307",0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,-1
"308",0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,-1
"309",0.48,0.41,0.52,0.33,0.5,0,0.51,0.26,-1
"310",0.46,0.39,0.54,0.22,0.5,0,0.48,0.25,-1
"311",0.46,0.39,0.54,0.22,0.5,0,0.48,0.25,-1
"312",0.42,0.5,0.64,0.13,0.5,0,0.49,0.22,-1
"313",0.46,0.54,0.59,0.41,0.5,0,0.53,0.21,-1
"314",0.46,0.54,0.59,0.41,0.5,0,0.53,0.21,-1
"315",0.39,0.65,0.57,0.19,0.5,0,0.44,0.25,-1
"316",0.39,0.65,0.57,0.19,0.5,0,0.43,0.25,-1
"317",0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,-1
"318",0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,-1
"319",0.51,0.52,0.58,0.17,0.5,0,0.47,0.28,-1
"320",0.57,0.48,0.54,0.22,0.5,0,0.5,0.11,-1
"321",0.5,0.5,0.62,0.23,0.5,0,0.35,0.11,-1
"322",0.41,0.49,0.65,0.28,0.5,0,0.59,0.57,-1
"323",0.53,0.57,0.6,0.36,0.5,0,0.5,0.22,-1
"324",0.53,0.57,0.6,0.36,0.5,0,0.5,0.22,-1
"325",0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,-1
"326",0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,-1
"327",0.49,0.4,0.58,0.23,0.5,0,0.47,0.27,-1
"328",0.37,0.37,0.51,0.38,0.5,0,0.44,0.22,-1
"329",0.51,0.4,0.5,0.28,0.5,0,0.48,0.27,-1
"330",0.34,0.25,0.55,0.28,0.5,0,0.51,0.49,-1
"331",0.59,0.54,0.53,0.14,0.5,0,0.48,0.22,-1
"332",0.5,0.48,0.48,0.23,0.5,0,0.53,0.68,-1
"333",0.56,0.42,0.52,0.14,0.5,0,0.51,0.22,-1
"334",0.46,0.42,0.51,0.16,0.5,0,0.56,0.22,-1
"335",0.6,0.51,0.49,0.18,0.5,0,0.53,0.38,-1
"336",0.49,0.38,0.56,0.09,0.5,0,0.46,0.22,-1
"337",0.38,0.4,0.53,0.12,0.5,0,0.55,0.22,-1
"338",0.55,0.55,0.52,0.13,0.5,0,0.53,0.25,-1
"339",0.46,0.44,0.58,0.17,0.5,0,0.55,0.22,-1
"340",0.34,0.46,0.52,0.19,0.5,0,0.53,0.26,-1
"341",0.58,0.56,0.46,0.14,0.5,0,0.51,0.22,-1
"342",0.44,0.71,0.5,0.21,0.5,0,0.54,0.27,-1
"343",0.41,0.49,0.47,0.09,0.5,0,0.49,0.22,-1
"344",0.44,0.51,0.53,0.3,0.5,0,0.53,0.22,-1
"345",0.54,0.51,0.56,0.15,0.5,0,0.54,0.31,-1
"346",0.46,0.38,0.51,0.2,0.5,0,0.51,0.22,-1
"347",0.41,0.4,0.56,0.17,0.5,0,0.56,0.22,-1
"348",0.59,0.55,0.57,0.18,0.5,0,0.51,0.22,-1
"349",0.48,0.51,0.5,0.24,0.5,0,0.54,0.38,-1
"350",0.39,0.3,0.63,0.2,0.5,0,0.43,0.47,-1
"351",0.3,0.33,0.55,0.12,0.5,0,0.53,0.38,-1
"352",0.53,0.49,0.47,0.21,0.5,0,0.53,0.22,-1
"353",0.42,0.43,0.67,0.7,0.5,0,0.42,0.25,-1
"354",0.56,0.55,0.57,0.15,0.5,0,0.54,0.25,-1
"355",0.37,0.55,0.52,0.13,0.5,0,0.42,0.8,-1
"356",0.64,0.31,0.53,0.15,0.5,0,0.53,0.31,-1
"357",0.54,0.5,0.51,0.26,0.5,0,0.52,0.22,-1
"358",0.6,0.64,0.56,0.36,0.5,0,0.46,0.27,-1
"359",0.39,0.45,0.51,0.29,0.5,0,0.54,0.22,-1
"360",0.43,0.47,0.47,0.18,0.5,0,0.47,0.22,-1
"361",0.55,0.57,0.51,0.07,0.5,0,0.55,0.22,-1
"362",0.52,0.47,0.58,0.18,0.5,0,0.34,0.11,-1
"363",0.52,0.47,0.58,0.18,0.5,0,0.34,0.11,-1
"364",0.5,0.45,0.51,0.19,0.5,0,0.53,0.25,-1
"365",0.32,0.68,0.51,0.16,0.5,0.83,0.55,0.22,1
"366",0.61,0.5,0.61,0.21,0.5,0,0.55,0.54,-1
"367",0.5,0.52,0.51,0.22,0.5,0,0.46,0.37,-1
"368",0.62,0.33,0.49,0.24,0.5,0,0.51,0.42,-1
"369",0.56,0.52,0.46,0.17,0.5,0,0.49,0.73,-1
"370",0.52,0.56,0.55,0.16,0.5,0,0.53,0.39,-1
"371",0.53,0.48,0.51,0.18,0.5,0,0.52,0.27,-1
"372",0.51,0.48,0.51,0.19,0.5,0,0.51,0.27,-1
"373",0.51,0.48,0.51,0.26,0.5,0,0.51,0.27,-1
"374",0.53,0.48,0.51,0.18,0.5,0,0.51,0.27,-1
"375",0.6,0.46,0.51,0.1,0.5,0,0.48,0.31,-1
"376",0.6,0.46,0.51,0.1,0.5,0,0.48,0.31,-1
"377",0.45,0.45,0.51,0.3,0.5,0,0.48,0.44,-1
"378",0.36,0.37,0.63,0.25,0.5,0,0.3,0.22,-1
"379",0.3,0.45,0.55,0.19,0.5,0,0.53,0.4,-1
"380",0.44,0.4,0.53,0.19,0.5,0,0.48,0.27,-1
"381",0.33,0.37,0.49,0.22,0.5,0,0.55,0.22,-1
"382",0.39,0.39,0.65,0.16,0.5,0,0.45,0.22,-1
"383",0.51,0.59,0.55,0.21,0.5,0,0.52,0.22,-1
"384",0.41,0.35,0.6,0.22,0.5,0,0.56,0.79,-1
"385",0.41,0.49,0.55,0.13,0.5,0,0.55,0.22,-1
"386",0.23,0.29,0.46,0,0.5,0,0.43,0.31,-1
"387",0.25,0.48,0.45,0.32,0.5,0,0.4,0.22,-1
