,0,1,2,3,4,5,6,7,8,9,10,11
59,K,C,Yes,3,3,2,2,Yes,6,0,0,negative
60,R,X,No,3,1,1,1,No,0,0,0,negative
61,A,O,No,2,1,2,2,No,2,0,0,negative
62,S,I,No,3,1,1,2,No,1,0,0,negative
63,S,O,No,2,1,1,2,No,0,0,0,negative
64,X,O,No,3,1,1,2,No,1,0,0,negative
65,S,O,No,2,1,2,2,No,1,0,0,negative
66,A,I,No,3,1,1,2,No,0,0,0,negative
67,S,O,No,2,1,2,2,No,0,0,0,negative
68,K,C,Yes,3,1,2,2,Yes,0,0,0,positive
69,R,O,No,2,1,1,2,No,0,0,0,negative
70,X,O,No,3,1,1,2,No,1,0,0,negative
71,S,O,No,2,1,2,2,No,0,0,0,negative
72,A,X,No,2,1,2,2,No,0,0,0,negative
73,A,O,No,3,1,2,2,No,0,0,0,negative
74,K,C,Yes,2,1,2,2,No,4,0,0,positive
75,S,I,Yes,2,1,2,2,No,0,0,0,negative
76,X,O,No,2,1,1,2,No,0,0,0,negative
77,R,O,No,3,1,1,2,No,0,0,0,negative
78,X,O,No,3,1,1,2,No,1,0,0,negative
79,X,O,No,3,1,1,2,No,0,0,0,negative
80,R,X,No,2,1,2,2,No,0,0,0,negative
81,A,X,No,2,1,2,2,No,0,0,0,negative
82,S,O,No,2,1,2,2,No,1,0,0,negative
83,R,O,No,2,1,1,2,No,0,0,0,negative
84,A,C,Yes,3,1,1,2,No,2,0,0,negative
85,X,O,No,1,1,1,2,No,0,0,0,negative
86,A,I,Yes,3,1,1,2,No,2,0,0,negative
87,S,O,No,3,1,2,2,No,1,0,0,negative
88,A,C,Yes,3,1,2,2,Yes,2,0,0,positive
89,S,O,No,2,1,2,2,No,0,0,0,negative
90,A,I,Yes,3,1,2,2,No,3,0,0,negative
91,X,O,No,3,1,1,2,No,0,0,0,negative
92,A,I,Yes,3,1,2,2,No,0,0,0,negative
93,A,I,Yes,2,1,2,2,No,2,0,0,positive
94,S,X,No,1,1,2,2,No,1,0,0,negative
95,A,I,Yes,2,1,2,2,No,0,0,0,negative
96,X,O,No,2,1,1,2,No,0,0,0,negative
97,S,I,Yes,2,1,2,2,No,0,0,0,negative
98,A,C,Yes,2,1,2,2,No,1,0,0,positive
99,S,X,No,2,1,2,2,No,0,0,0,negative
100,A,O,No,2,1,2,2,No,1,0,0,negative
101,X,O,No,3,1,1,2,No,0,0,0,negative
102,S,O,No,3,1,1,2,No,1,0,0,negative
103,S,X,No,2,1,2,2,No,0,0,0,negative
104,A,I,Yes,2,1,2,2,No,0,0,0,positive
105,A,O,No,2,1,2,2,No,0,0,0,negative
106,S,I,No,2,1,2,2,No,0,0,0,negative
107,A,O,No,3,1,1,2,No,2,0,0,negative
108,S,X,No,2,1,1,1,No,0,0,0,negative
109,S,O,No,1,1,2,2,No,0,0,0,negative
110,S,I,Yes,3,1,2,2,No,0,0,0,negative
111,S,O,No,2,1,1,2,No,0,0,0,negative
112,A,I,No,2,1,2,2,No,0,0,0,negative
113,S,X,No,2,1,1,2,No,2,0,0,negative
114,A,O,No,3,1,1,2,No,0,0,0,negative
115,H,X,No,2,1,1,1,No,0,0,0,negative
116,X,O,No,3,1,1,2,No,0,0,0,negative
117,S,O,No,3,1,1,2,No,0,0,0,negative
118,H,X,No,3,1,1,1,No,0,0,0,negative
119,S,X,No,2,1,1,1,No,1,0,0,negative
120,X,O,No,3,1,1,2,No,0,0,0,negative
121,R,O,No,2,1,1,2,No,3,0,0,negative
122,R,O,No,2,1,1,2,No,0,0,0,negative
123,S,O,Yes,2,1,1,2,No,0,0,0,negative
124,S,X,No,2,1,1,1,No,0,0,0,negative
125,X,O,No,3,1,1,2,No,0,0,0,negative
126,R,C,Yes,3,1,1,2,No,0,0,0,negative
127,R,I,No,3,1,1,2,No,0,0,0,negative
128,S,X,No,1,1,2,2,No,0,0,0,negative
129,S,O,No,2,1,1,2,No,0,0,0,negative
130,K,O,No,2,1,1,2,No,2,0,0,negative
131,X,O,No,2,1,1,2,No,0,0,0,negative
132,A,I,No,3,1,2,2,No,0,0,0,negative
133,R,O,No,3,1,1,2,No,0,0,0,negative
134,S,X,No,2,1,1,2,No,0,0,0,negative
135,S,O,No,2,1,1,2,No,0,0,0,negative
136,S,O,No,3,1,1,2,No,0,0,0,negative
137,K,C,No,3,1,2,2,Yes,2,1,0,negative
138,R,O,No,3,1,2,2,Yes,0,0,0,negative
139,S,X,No,1,1,1,2,No,0,0,0,negative
140,S,O,Yes,1,1,1,2,No,0,0,0,negative
141,S,X,No,1,1,1,1,No,0,0,0,negative
142,X,O,No,3,1,1,2,No,0,0,0,negative
143,A,C,Yes,1,3,2,2,No,5,0,0,negative
144,A,O,No,1,1,2,2,No,3,0,0,negative
145,R,X,No,3,1,1,2,No,0,0,0,negative
146,S,X,No,2,1,1,1,No,0,0,0,negative
147,S,X,No,2,1,1,1,No,0,0,0,negative
148,S,X,No,3,1,1,2,No,0,0,0,negative
149,H,X,No,3,1,1,2,No,0,0,0,negative
150,S,X,No,3,1,1,1,No,0,0,0,negative
151,K,C,Yes,3,3,2,2,Yes,1,0,0,positive
152,A,O,Yes,2,1,2,2,No,1,0,0,negative
153,S,O,No,3,1,1,2,No,1,0,0,negative
154,S,X,No,3,1,1,1,No,0,0,0,negative
155,S,O,No,3,1,1,2,No,0,0,0,negative
156,S,X,No,2,1,1,2,No,0,0,0,negative
157,H,O,No,3,1,1,2,No,1,0,0,negative
158,X,O,No,1,1,1,2,No,0,0,0,negative
159,A,O,Yes,2,1,2,2,No,0,0,0,negative
160,S,I,No,3,1,1,2,No,0,0,0,negative
161,S,X,No,3,1,1,1,No,0,0,0,negative
162,A,O,No,3,1,1,2,No,1,0,0,negative
163,S,X,No,2,1,1,2,No,0,0,0,negative
164,S,O,Yes,3,1,1,2,No,1,0,0,negative
165,S,O,No,2,1,1,2,No,0,0,0,negative
166,K,I,Yes,2,1,2,2,Yes,1,0,0,positive
167,R,O,Yes,2,1,2,2,No,0,0,0,negative
168,S,O,No,3,1,1,2,No,0,0,0,negative
169,S,X,No,1,1,1,2,No,0,0,0,negative
170,A,I,No,2,1,2,2,No,2,0,0,positive
171,S,O,No,3,1,1,2,No,0,0,0,negative
172,A,O,Yes,3,1,1,2,No,0,0,0,negative
173,S,O,No,2,1,1,2,No,3,0,0,negative
174,S,X,No,2,1,1,2,No,0,0,0,negative
175,S,X,No,3,1,1,2,No,0,0,0,negative
176,R,I,Yes,2,1,1,2,No,0,0,0,negative
177,A,I,No,3,1,1,2,No,0,0,0,negative
178,A,O,Yes,2,3,2,2,No,0,0,0,negative
179,A,O,No,2,1,1,2,No,0,0,0,negative
180,R,O,No,3,1,1,2,No,1,0,0,negative
181,S,X,No,2,1,1,2,No,0,0,0,negative
182,S,X,No,2,1,1,2,No,0,0,0,negative
183,K,I,Yes,3,1,2,2,Yes,3,0,0,positive
184,A,I,No,2,1,2,2,No,0,0,0,negative
185,A,I,No,3,1,2,2,No,0,0,0,negative
186,X,I,No,2,1,2,2,No,0,1,0,negative
187,A,O,No,3,1,1,2,No,0,0,0,negative
188,A,O,Yes,3,1,1,2,No,0,0,0,negative
189,X,O,No,3,1,1,2,No,1,0,0,negative
190,X,O,No,2,1,1,2,No,0,0,0,negative
191,S,X,No,3,1,1,2,No,0,0,0,negative
192,S,X,No,2,1,1,2,No,0,0,0,negative
193,K,I,Yes,2,3,2,2,No,0,0,0,positive
194,A,I,No,2,1,2,2,No,0,0,0,negative
195,A,O,No,2,1,1,2,No,0,0,0,negative
196,A,O,Yes,3,1,1,2,No,0,0,0,negative
197,X,O,No,2,1,1,2,No,0,0,0,negative
198,R,O,No,2,1,1,2,No,0,0,0,negative
199,R,X,No,2,1,1,1,No,0,0,0,negative
200,S,X,No,2,1,1,1,No,0,0,0,negative
201,S,O,No,1,1,2,2,No,0,0,0,positive
202,R,I,Yes,2,1,2,2,No,0,0,0,negative
203,R,O,No,2,1,2,2,No,1,0,0,negative
204,A,X,Yes,3,2,2,2,No,0,0,0,negative
205,A,X,No,2,1,1,2,No,0,0,0,negative
206,A,I,No,2,1,1,2,No,0,0,0,negative
207,R,O,No,3,1,1,2,No,0,0,0,negative
208,R,O,No,3,1,1,2,No,0,0,0,negative
209,S,X,No,2,1,2,1,No,0,0,0,negative
210,R,O,No,3,1,1,2,No,0,0,0,negative
211,R,O,No,3,1,1,2,No,0,0,0,negative
212,R,O,No,1,1,2,2,No,0,0,0,negative
213,S,X,No,2,1,2,2,No,0,0,0,negative
214,A,X,No,3,1,1,2,No,0,0,0,negative
215,S,I,No,2,1,2,2,No,0,3,0,negative
216,X,O,No,3,1,1,2,No,0,0,0,negative
217,X,I,No,3,1,1,2,No,0,0,0,negative
218,S,I,No,3,1,1,2,No,0,0,0,negative
219,R,X,No,3,1,1,2,No,0,0,0,negative
220,A,X,No,2,1,2,1,No,0,0,0,negative
221,R,X,No,2,1,1,2,No,0,0,0,negative
222,X,O,No,3,1,1,2,No,0,0,0,negative
223,X,O,No,3,1,1,2,No,0,0,0,negative
224,X,O,No,3,1,1,2,No,0,0,0,negative
225,R,X,No,2,1,2,2,No,0,0,0,negative
226,R,O,No,1,1,1,2,No,0,0,0,negative
227,S,O,No,2,1,2,2,No,0,0,0,negative
228,R,O,No,2,1,2,2,No,0,0,0,negative
229,R,O,No,3,1,1,2,No,0,0,0,negative
230,A,O,No,3,1,2,2,No,0,0,0,negative
231,R,O,No,3,1,1,2,No,0,0,0,negative
232,R,X,No,1,1,1,2,No,0,0,0,negative
233,R,I,No,3,1,1,2,No,2,0,0,negative
234,A,O,No,3,1,2,2,No,0,0,0,negative
235,X,O,No,3,1,1,2,No,0,0,0,negative
236,S,O,Yes,2,3,2,2,No,1,0,0,negative
237,R,X,No,3,1,1,2,No,0,0,0,negative
238,R,O,No,2,1,1,2,No,0,0,0,negative
239,A,X,No,2,1,2,2,No,0,0,0,negative
240,R,O,No,3,1,1,2,No,0,0,0,negative
241,X,O,No,3,1,1,2,No,0,0,0,negative
242,R,I,No,3,1,1,2,No,2,0,0,negative
243,A,X,No,2,1,2,2,No,0,1,0,negative
244,R,O,No,3,1,1,2,No,0,0,0,negative
245,S,X,No,3,1,2,2,No,0,0,0,negative
246,X,O,No,2,1,1,2,No,0,0,0,negative
247,S,X,No,2,1,1,2,No,0,0,0,negative
248,S,O,No,2,1,2,2,No,0,0,0,negative
249,R,O,No,1,1,1,2,No,0,0,0,negative
250,R,X,No,3,1,1,2,No,0,0,0,negative
251,A,I,Yes,3,1,2,2,No,1,0,0,negative
252,R,I,No,2,1,2,2,No,0,0,0,negative
253,R,O,No,2,1,1,2,No,0,0,0,negative
254,X,O,No,3,1,1,2,No,0,0,0,negative
255,S,O,No,2,1,1,2,No,1,0,0,negative
256,S,X,Yes,2,1,2,2,No,0,0,0,negative
257,X,O,No,3,1,1,2,No,0,0,0,negative
258,S,O,No,3,1,2,2,No,0,0,0,negative
259,A,I,No,3,1,1,2,No,0,0,0,negative
260,R,I,Yes,3,2,2,2,No,0,0,0,negative
261,S,O,No,3,1,1,2,No,0,1,0,negative
262,S,X,No,2,1,2,2,No,0,0,0,negative
263,R,O,No,2,1,2,2,No,0,0,0,negative
264,A,I,No,2,1,2,2,No,0,0,0,negative
265,X,O,No,2,1,2,2,No,0,0,0,negative
266,A,I,Yes,3,1,1,2,No,0,0,0,negative
267,R,O,No,3,1,1,2,No,0,0,0,negative
268,A,O,No,3,1,2,2,No,0,0,0,negative
269,R,I,No,2,1,2,2,No,0,0,0,negative
270,R,O,No,2,1,2,2,No,0,0,0,negative
271,X,I,No,3,1,2,2,No,0,0,0,negative
272,R,O,No,3,1,1,2,No,1,0,0,negative
273,X,O,No,3,1,1,2,No,0,0,0,negative
274,R,O,No,3,1,1,2,No,0,0,0,negative
275,X,O,No,1,1,2,2,No,0,0,0,negative
276,A,O,No,2,1,2,2,No,0,0,0,negative
277,A,I,No,2,1,2,2,No,4,0,0,negative
278,R,O,No,1,1,1,2,No,0,0,0,negative
279,R,O,No,1,1,1,2,No,0,0,0,negative
280,A,X,No,2,1,2,2,No,0,0,0,negative
281,R,O,No,2,1,2,2,No,0,0,0,negative
282,S,O,Yes,3,1,2,2,No,1,0,0,negative
283,X,O,Yes,3,1,1,2,No,0,0,0,negative
284,S,O,No,3,1,1,2,No,0,0,0,negative
285,X,O,No,3,1,1,2,No,0,0,0,negative
286,S,X,No,2,1,2,2,No,0,0,0,negative
287,R,O,No,2,1,1,2,No,0,0,0,negative
288,S,X,No,2,1,1,1,No,0,0,0,negative
289,S,X,No,3,1,2,2,No,0,0,0,negative
290,K,I,Yes,3,2,2,2,No,2,0,0,negative
291,X,O,No,2,1,1,2,No,0,0,0,negative
292,X,I,No,2,1,1,2,No,0,0,0,negative
293,X,O,No,2,1,1,2,No,0,0,0,negative
294,S,X,No,2,1,1,1,No,0,0,0,negative
295,S,X,No,2,1,1,1,No,0,1,0,negative
296,K,I,No,3,1,2,2,No,4,0,0,negative
297,X,O,No,1,1,1,2,No,0,0,0,negative
298,S,O,Yes,3,3,1,2,No,0,1,0,negative
299,X,O,No,3,1,1,2,No,0,0,0,negative
300,R,O,No,2,1,1,2,No,0,0,0,negative
301,K,I,Yes,3,1,2,2,No,3,1,0,negative
302,S,X,No,2,1,1,1,No,0,0,0,negative
303,S,O,No,3,1,1,2,No,0,0,0,negative
304,X,O,No,3,1,1,2,No,0,0,0,negative
305,R,O,No,3,1,1,2,No,0,0,0,negative
306,R,O,No,3,1,1,2,No,0,0,0,negative
307,R,O,No,3,1,1,2,No,0,0,0,negative
308,K,I,Yes,2,1,2,2,No,1,0,0,negative
309,A,I,No,3,1,1,2,No,0,0,0,negative
310,S,X,No,2,1,1,1,No,0,0,0,negative
311,S,O,Yes,2,2,1,2,No,0,0,0,negative
312,R,O,No,2,1,1,2,No,0,0,0,negative
313,X,O,No,2,1,1,2,No,0,0,0,negative
314,X,O,No,2,1,1,2,No,0,0,0,negative
315,X,O,No,3,1,1,2,No,1,0,0,negative
316,X,O,No,3,1,1,2,No,0,0,0,negative
317,S,O,No,2,1,1,2,No,1,0,0,negative
318,A,I,Yes,2,3,2,2,No,0,0,0,negative
319,A,I,No,2,1,2,2,No,0,0,0,negative
320,S,O,No,3,1,1,2,No,0,0,0,negative
321,R,X,No,3,1,1,2,No,0,0,0,negative
322,X,O,No,2,1,1,2,No,0,0,0,negative
323,A,I,No,3,1,1,2,No,0,0,0,negative
324,S,X,No,2,1,1,1,No,0,0,0,negative
325,R,O,No,3,1,1,2,No,1,0,0,negative
326,A,X,No,1,1,2,2,No,0,0,0,negative
327,S,X,No,1,1,1,2,No,0,0,0,negative
328,A,I,No,3,1,2,2,No,0,0,0,negative
329,S,X,No,1,1,1,2,No,0,0,0,negative
330,S,O,No,2,1,1,2,No,0,0,0,negative
331,S,I,Yes,3,1,1,2,No,0,0,0,negative
332,S,X,No,3,1,1,1,No,0,0,0,negative
333,R,O,No,2,1,1,2,No,0,0,0,negative
334,R,O,No,3,1,1,2,No,0,0,0,negative
335,S,X,No,3,1,1,2,No,0,0,0,negative
336,S,X,No,2,1,1,1,No,0,0,0,negative
337,X,O,No,2,1,1,2,No,0,0,0,negative
338,A,I,No,3,1,2,2,No,1,0,0,negative
339,S,O,No,3,1,1,2,No,0,0,0,negative
340,R,X,No,1,1,1,2,No,0,0,0,negative
341,A,I,No,2,1,2,2,No,0,0,0,negative
342,S,X,No,2,1,1,1,No,0,0,0,negative
343,R,O,No,3,1,1,2,No,0,0,0,negative
344,S,I,No,3,1,1,2,No,1,0,0,negative
345,R,X,No,2,1,1,1,No,0,0,0,negative
346,R,X,No,2,1,1,2,No,0,0,0,negative
347,A,C,No,3,1,2,2,No,0,0,0,negative
348,A,O,No,3,1,1,2,No,0,0,0,negative
349,S,O,No,3,1,1,2,No,0,0,0,negative
350,S,X,Yes,2,1,1,2,No,0,0,0,negative
351,R,O,No,3,1,2,2,No,0,0,0,negative
352,S,O,No,2,1,2,2,No,0,0,0,negative
353,H,X,No,2,1,1,1,No,0,0,0,negative
354,R,O,No,3,1,1,2,No,0,0,0,negative
355,S,I,No,3,1,2,2,No,1,0,0,negative
356,R,O,No,3,1,1,2,No,0,1,0,negative
357,R,X,No,3,1,1,2,No,0,0,0,negative
358,S,X,No,2,1,2,1,No,0,0,0,negative
359,S,X,No,2,1,1,1,No,0,0,0,negative
360,A,O,No,1,1,2,2,No,0,0,0,negative
361,S,I,No,3,1,1,2,No,0,0,0,negative
362,R,I,No,3,1,2,2,No,0,0,0,negative
363,X,O,No,2,1,1,2,No,0,0,0,negative
364,R,O,No,3,1,1,2,No,0,1,0,negative
365,R,O,No,3,1,1,2,No,0,0,0,negative
366,S,I,No,3,1,2,2,No,0,0,0,negative
367,A,I,No,3,1,2,2,No,0,0,0,negative
368,R,O,No,3,1,1,2,No,0,0,0,negative
369,R,O,No,2,1,2,2,No,0,0,0,negative
370,S,X,No,3,1,1,1,No,0,0,0,negative
371,R,O,No,3,1,1,2,No,0,0,0,negative
372,A,I,Yes,3,3,1,2,No,1,0,0,negative
373,X,O,No,2,1,1,2,No,0,0,0,negative
374,A,X,No,3,1,2,1,No,0,0,0,negative
375,A,I,No,3,1,2,2,No,3,0,0,negative
376,R,O,No,2,1,1,2,No,0,0,0,negative
377,S,O,No,1,1,2,2,No,0,0,0,negative
378,S,X,No,2,1,1,2,No,0,0,0,negative
379,R,O,No,1,1,2,2,No,0,0,0,negative
380,R,O,No,2,1,1,2,No,0,0,0,negative
381,X,O,No,2,1,2,2,No,0,0,0,negative
382,R,O,No,2,1,1,2,No,0,0,0,negative
383,A,O,Yes,2,1,2,2,No,4,0,0,negative
384,A,I,No,3,1,2,2,No,0,0,0,negative
385,A,X,No,3,1,2,1,No,0,0,0,negative
386,A,I,Yes,3,1,2,2,No,0,1,0,negative
387,S,O,No,2,1,2,2,No,0,0,0,negative
388,S,X,No,2,1,1,2,No,0,0,0,negative
389,R,O,No,3,1,2,2,No,0,0,0,negative
390,S,X,No,2,1,1,1,No,0,0,0,negative
391,A,O,No,1,1,1,2,No,0,0,0,negative
392,A,I,No,2,1,2,2,No,0,0,0,negative
393,A,X,No,2,1,2,1,No,0,0,0,negative
394,A,C,Yes,2,3,2,2,No,0,0,0,negative
395,S,I,No,2,1,2,2,No,0,0,0,negative
396,R,X,No,2,1,1,1,No,0,0,0,negative
397,S,X,No,3,1,1,2,No,0,0,0,negative
398,A,I,No,3,1,2,2,No,0,1,0,negative
399,S,X,No,3,1,1,1,No,0,0,0,negative
400,A,O,Yes,3,1,2,2,No,0,0,0,negative
401,A,O,No,2,1,2,2,No,1,0,0,negative
402,A,O,No,2,1,2,2,No,0,0,0,negative
403,A,C,No,2,1,2,2,No,0,0,0,negative
404,S,I,No,3,1,2,2,No,5,1,0,negative
405,R,X,No,3,1,1,1,No,0,0,0,negative
406,R,I,No,3,1,1,2,No,1,0,0,negative
407,S,X,No,3,1,1,1,No,0,0,0,negative
408,S,X,No,3,1,2,1,No,0,0,0,negative
409,S,I,No,3,1,2,2,No,0,0,0,negative
410,S,X,No,2,1,1,1,No,0,0,0,negative
411,A,X,No,2,1,2,2,No,0,0,0,negative
412,A,I,No,2,1,2,2,No,4,0,0,positive
413,A,I,No,2,1,2,2,No,0,0,0,negative
414,A,I,No,3,1,2,2,No,0,0,0,negative
415,S,X,No,2,1,1,1,No,1,0,0,negative
416,X,O,No,3,1,1,2,No,0,0,0,negative
417,S,O,No,1,3,2,2,No,0,0,0,negative
418,S,X,No,2,1,1,1,No,0,0,0,negative
419,S,X,No,3,1,1,1,No,0,0,0,negative
420,R,I,No,3,1,1,2,No,0,0,0,negative
421,S,X,No,2,1,1,1,No,0,0,0,negative
422,A,I,Yes,2,1,2,2,No,0,0,0,positive
423,S,X,No,3,1,2,2,No,1,0,0,negative
424,A,I,No,3,1,2,2,No,0,0,0,negative
425,S,X,No,2,1,2,1,No,0,0,0,negative
426,R,I,No,3,1,2,2,No,0,0,0,negative
427,R,O,No,3,1,1,2,No,0,0,0,negative
428,S,X,No,2,1,1,1,No,0,0,0,negative
429,A,I,No,1,1,2,2,No,0,0,0,positive
430,R,X,No,1,1,2,2,No,0,0,0,negative
431,S,X,Yes,3,1,2,2,No,0,0,0,negative
432,S,I,Yes,2,1,2,2,No,3,0,0,negative
433,S,X,No,3,1,1,1,No,0,0,0,negative
434,R,I,No,2,1,2,2,No,0,0,0,negative
435,R,X,No,2,1,2,1,No,0,0,0,negative
436,A,O,No,2,1,2,2,No,0,0,0,negative
437,R,X,No,1,1,1,2,No,0,0,0,negative
438,X,O,No,2,1,1,2,No,0,0,0,negative
439,S,X,No,2,1,2,1,No,0,0,0,negative
440,S,X,No,2,1,2,2,No,0,0,0,negative
441,S,I,Yes,2,1,2,2,No,0,0,0,negative
442,S,O,Yes,2,1,1,2,No,0,0,0,negative
443,S,X,No,2,1,2,1,No,0,0,0,negative
444,X,O,No,3,1,1,2,No,0,0,0,negative
445,S,X,No,3,1,1,1,No,0,0,0,negative
446,S,X,No,2,1,2,2,No,0,0,0,negative
447,A,I,Yes,2,1,2,2,No,1,0,0,negative
448,X,O,No,2,1,2,2,No,0,0,0,negative
449,R,O,No,3,1,1,2,No,0,0,0,negative
450,S,O,Yes,3,1,2,2,No,0,0,0,negative
451,H,O,No,3,1,1,2,No,0,0,0,negative
452,R,O,No,3,1,1,2,No,0,0,0,negative
453,S,O,No,2,1,1,2,No,0,0,0,negative
454,S,X,No,2,1,2,2,No,0,0,0,negative
455,S,X,No,2,1,1,2,No,0,0,0,negative
456,S,O,No,3,1,2,2,No,0,0,0,negative
457,S,I,No,3,1,1,2,No,0,0,0,negative
458,R,X,No,2,1,1,2,No,0,0,0,negative
459,S,X,No,2,1,2,2,No,0,0,0,negative
460,S,X,No,2,1,1,2,No,0,0,0,negative
461,R,X,No,3,1,2,1,No,0,0,0,negative
462,X,O,No,3,1,1,2,No,0,0,0,negative
463,S,O,No,2,1,2,2,No,1,0,0,negative
464,S,O,No,2,1,1,2,No,0,0,0,negative
465,R,O,No,3,1,1,2,No,0,0,0,negative
466,S,O,No,1,1,1,2,No,0,0,0,negative
467,X,O,No,3,1,1,2,No,0,0,0,negative
468,S,O,No,2,1,1,2,No,1,0,0,negative
469,S,X,No,2,1,1,2,No,0,0,0,negative
470,S,X,No,3,1,2,1,No,0,0,0,negative
471,S,O,No,3,1,1,2,No,1,0,0,negative
472,S,O,No,3,1,2,2,No,2,1,0,negative
473,S,X,No,3,1,1,2,No,1,0,0,negative
474,R,O,No,2,1,1,2,No,0,0,0,negative
475,S,O,No,3,1,1,2,No,0,0,0,negative
476,S,X,Yes,3,1,1,2,No,0,0,0,negative
477,A,O,No,2,1,2,2,No,1,0,0,negative
478,S,X,No,2,1,1,2,No,0,0,0,negative
479,S,X,No,2,1,2,1,No,0,0,0,negative
480,S,I,No,3,1,1,2,No,0,0,0,negative
481,A,I,Yes,2,1,2,2,No,1,0,0,negative
482,R,X,No,2,1,1,2,No,0,0,0,negative
483,R,I,No,2,1,1,2,No,2,0,0,negative
484,S,X,No,2,1,1,2,No,0,0,0,negative
485,S,X,No,2,1,1,2,No,0,0,0,negative
486,A,O,No,3,1,2,2,No,0,0,0,negative
487,A,I,Yes,2,1,2,2,No,2,0,0,negative
488,H,O,No,2,1,1,2,No,0,0,0,positive
489,R,O,No,3,1,1,2,No,0,0,0,negative
490,S,O,No,2,1,1,2,No,0,0,0,negative
491,R,X,No,2,1,1,2,No,0,0,0,negative
492,R,X,No,3,1,1,1,No,0,0,0,negative
493,S,O,No,3,1,1,2,No,0,0,0,negative
494,S,I,No,1,1,2,2,No,0,0,0,negative
495,R,I,No,2,1,2,2,No,1,0,0,negative
496,S,O,No,3,1,1,2,No,0,0,0,negative
497,X,I,Yes,2,1,2,2,No,0,0,0,negative
498,S,X,No,3,1,1,2,No,0,0,0,negative
499,X,O,No,3,1,1,2,No,0,0,0,negative
500,R,X,Yes,1,1,2,2,No,0,0,0,negative
501,S,O,No,2,1,2,2,No,0,0,0,negative
502,S,X,No,2,1,1,2,No,0,0,0,negative
503,X,I,No,2,1,2,2,No,1,0,0,negative
504,S,O,No,2,1,1,2,No,0,0,0,negative
505,X,O,No,3,1,1,2,No,0,0,0,negative
506,A,O,No,3,1,1,2,No,0,0,0,negative
507,S,O,No,2,1,1,2,No,0,0,0,negative
508,X,O,No,3,1,1,2,No,0,0,0,negative
509,S,O,Yes,2,1,2,2,No,0,0,0,negative
510,S,I,No,3,1,1,2,No,0,0,0,negative
